id,price
0,21.78
1,18.48
2,24.17
3,29.71
4,20.12
5,27.55
6,14.9
7,26.75
8,21.49
9,26.35
10,31.74
11,22.28
12,14.98
13,14.37
14,14.77
15,22.74
16,16.43
17,7.27
18,15.56
19,14.7
20,27.82
21,20.79
22,33.03
23,20.14
24,20.66
25,11.15
26,15.9
27,18.96
28,18.5
29,21.82
30,21.64
31,21.52
32,14.83
33,18.9
34,23.16
35,17.2
36,16.54
37,18.77
38,17.48
39,20.94
40,22.89
41,8.98
42,13.56
43,18.53
44,5.8
45,11.6
46,27.57
47,24.27
48,21.21
49,13.72
50,19.54
51,22.49
52,18.18
53,12.66
54,35.6
55,12.25
56,21.59
57,6.67
58,12.13
59,17.13
60,19.76
61,14.75
62,22.3
63,15.71
64,25.01
65,21.81
66,18.21
67,20.77
68,16.5
69,13.01
70,23.99
71,24.57
72,33.26
73,10.64
74,14.83
75,28.02
76,12.94
77,27.03
78,9.01
79,25.45
80,26.17
81,18.16
82,13.09
83,19.89
84,18.26
85,12.22
86,18.13
87,29.56
88,24.07
89,17.92
90,18.09
91,14.46
92,22.45
93,12.86
94,23.1
95,19.59
96,21.64
97,21.27
98,22.38
99,21.67
100,20.23
101,14.92
102,24.16
103,13.86
104,33.24
105,15.7
106,17.77
107,26.15
108,18.99
109,14.08
110,16.12
111,19.45
112,19.31
113,14.17
114,8.2
115,24.91
116,21.93
117,17.15
118,16.03
119,19.9
120,20.68
121,24.73
122,16.81
123,15.42
124,16.68
125,33.03
126,10.62
127,13.18
128,13.73
129,19.31
130,28.76
131,27.01
132,13.67
133,25.17
134,10.19
135,15.67
136,11.88
137,19.01
138,20.52
139,24.98
140,21.09
141,16.39
142,19.42
143,16.51
144,21.01
145,19.19
146,15.66
147,21.53
148,21.49
149,22.64
150,11.07
151,30.94
152,13.22
153,21.66
154,20.19
155,28.77
156,19.57
157,9.6
158,22.26
159,24.35
160,28.52
161,19.9
162,29.45
163,26.23
164,18.74
165,26.24
166,23.18
167,22.73
168,12.47
169,20.86
170,17.86
171,28.4
172,16.69
173,13.78
174,19.52
175,14.8
176,15.88
177,24.22
178,29.69
179,21.09
180,16.18
181,6.64
182,17.97
183,20.49
184,15.96
185,11.87
186,13.57
187,14.52
188,23.1
189,31.01
190,17.27
191,18.06
192,20.95
193,19.68
194,26.31
195,24.97
196,22.72
197,12.05
198,17.0
199,13.43
200,17.2
201,27.06
202,22.89
203,17.69
204,14.97
205,15.57
206,17.43
207,26.18
208,21.61
209,23.53
210,19.55
211,19.45
212,22.59
213,23.89
214,19.75
215,36.34
216,19.16
217,16.25
218,17.26
219,19.17
220,21.25
221,22.94
222,20.2
223,19.98
224,17.15
225,8.22
226,29.26
227,16.25
228,31.16
229,16.7
230,23.57
231,15.7
232,16.05
233,18.19
234,18.27
235,17.68
236,22.47
237,26.4
238,21.37
239,25.73
240,13.01
241,12.69
242,15.36
243,9.11
244,29.61
245,18.2
246,24.48
247,30.9
248,18.97
249,30.69
250,21.45
251,13.9
252,20.46
253,13.36
254,24.76
255,14.04
256,23.96
257,26.99
258,30.57
259,31.05
260,20.45
261,22.08
262,15.31
263,23.79
264,33.46
265,18.28
266,18.59
267,20.34
268,18.49
269,18.62
270,20.21
271,10.61
272,30.51
273,27.99
274,16.05
275,14.3
276,17.76
277,10.89
278,17.61
279,18.2
280,27.1
281,15.3
282,31.79
283,18.8
284,15.21
285,17.3
286,16.05
287,15.63
288,15.14
289,16.05
290,14.18
291,36.39
292,16.19
293,24.75
294,21.42
295,33.07
296,14.78
297,21.25
298,13.53
299,17.18
300,27.17
301,15.87
302,19.37
303,31.21
304,18.42
305,13.41
306,16.49
307,16.13
308,26.07
309,12.73
310,18.44
311,37.67
312,15.88
313,21.19
314,9.58
315,18.11
316,18.83
317,14.56
318,22.8
319,22.4
320,15.55
321,11.44
322,20.4
323,15.69
324,26.65
325,16.77
326,21.2
327,32.4
328,23.93
329,20.63
330,14.39
331,31.2
332,20.57
333,10.08
334,10.91
335,15.96
336,19.99
337,28.51
338,24.07
339,24.04
340,19.18
341,27.75
342,18.45
343,16.19
344,18.26
345,12.61
346,13.2
347,28.14
348,16.94
349,18.62
350,24.85
351,17.19
352,26.69
353,16.81
354,15.83
355,19.5
356,23.52
357,14.93
358,27.84
359,21.78
360,13.54
361,24.47
362,23.7
363,22.4
364,17.67
365,12.7
366,23.11
367,37.76
368,20.4
369,30.94
370,19.63
371,26.44
372,30.65
373,19.77
374,14.99
375,17.73
376,24.8
377,15.71
378,25.07
379,13.97
380,22.99
381,39.91
382,29.42
383,15.7
384,13.38
385,34.39
386,16.83
387,21.25
388,22.74
389,18.05
390,27.17
391,26.66
392,20.04
393,26.26
394,16.84
395,15.59
396,11.58
397,14.56
398,25.74
399,16.58
400,24.96
401,24.88
402,19.6
403,29.47
404,14.68
405,12.37
406,13.28
407,22.14
408,18.73
409,24.4
410,22.05
411,20.75
412,29.15
413,34.2
414,21.48
415,30.99
416,22.46
417,25.87
418,16.79
419,23.95
420,15.94
421,29.66
422,22.37
423,16.6
424,11.6
425,14.51
426,17.42
427,27.06
428,26.62
429,29.31
430,19.28
431,19.18
432,22.47
433,27.05
434,9.82
435,19.55
436,22.01
437,23.44
438,15.32
439,23.89
440,16.29
441,17.53
442,17.29
443,19.46
444,31.5
445,16.89
446,15.56
447,24.06
448,11.04
449,28.41
450,19.03
451,14.57
452,27.08
453,25.12
454,15.12
455,27.66
456,20.5
457,15.1
458,17.3
459,20.97
460,13.82
461,15.69
462,14.5
463,22.78
464,19.53
465,35.63
466,21.55
467,12.35
468,16.93
469,21.24
470,25.16
471,17.53
472,12.3
473,22.25
474,13.25
475,17.4
476,14.49
477,33.67
478,22.91
479,20.8
480,12.11
481,17.63
482,17.21
483,28.28
484,25.61
485,21.46
486,31.45
487,27.61
488,36.72
489,21.89
490,15.34
491,33.84
492,16.51
493,18.62
494,15.45
495,22.97
496,27.96
497,12.8
498,24.38
499,11.93
500,14.45
501,12.9
